framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram(mb),time(ms),proofSize,nbPhysicalCores,nbLogicalCores,count,cpu
circom/snarkjs,circuit,groth16,bn128,poseidon,inputs/benchmarks/poseidon/input.json,verify,240,0,2,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,poseidon,inputs/benchmarks/poseidon/input.json,compile,240,0,2,180,1460,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,poseidon,inputs/benchmarks/poseidon/input.json,witness,240,0,2,56,40,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics

circom/snarkjs,circuit,groth16,bn128,poseidon,inputs/benchmarks/poseidon/input.json,prove,240,0,2,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,poseidon,inputs/benchmarks/poseidon/input.json,verify,240,0,2,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,poseidon,inputs/benchmarks/poseidon/input.json,compile,240,0,2,180,1500,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,poseidon,inputs/benchmarks/poseidon/input.json,witness,240,0,2,58,40,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics

circom/snarkjs,circuit,groth16,bn128,poseidon,inputs/benchmarks/poseidon/input.json,prove,240,0,2,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,poseidon,inputs/benchmarks/poseidon/input.json,verify,240,0,2,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,poseidon,inputs/benchmarks/poseidon/input.json,compile,240,0,2,180,1460,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,poseidon,inputs/benchmarks/poseidon/input.json,witness,240,0,2,54,50,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,poseidon,inputs/benchmarks/poseidon/input.json,setup,240,0,2,178,2250,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
